date,strain,carbon_source,replicate,inducer_conc,elapsed_time_hr,od_600nm
2024-05-25,lacZ,glucose,1,5,1.8333333333333333,0.08
2024-05-25,lacZ,glucose,1,5,2.1500000000000004,0.093
2024-05-25,lacZ,glucose,1,5,2.6666666666666665,0.112
2024-05-25,lacZ,glucose,1,5,2.95,0.128
2024-05-25,lacZ,glucose,1,5,3.3,0.145
2024-05-25,lacZ,glucose,1,5,3.433333333333333,0.161
2024-05-25,lacZ,glucose,1,5,3.9166666666666665,0.18
2024-05-25,lacZ,glucose,1,5,4.333333333333334,0.215
2024-05-25,lacZ,glucose,1,5,4.683333333333334,0.255
2024-05-25,lacZ,glucose,1,5,4.95,0.288
2024-05-25,lacZ,glucose,1,5,5.25,0.32
2024-05-25,lacZ,glucose,1,5,5.433333333333334,0.35
2024-05-25,lacZ,glucose,1,5,5.816666666666666,0.421
2024-05-25,lacZ,glucose,2,5,0.0,0.04
2024-05-25,lacZ,glucose,2,5,0.2833333333333334,0.044
2024-05-25,lacZ,glucose,2,5,0.7166666666666667,0.05
2024-05-25,lacZ,glucose,2,5,1.0666666666666669,0.054
2024-05-25,lacZ,glucose,2,5,1.4666666666666666,0.067
2024-05-25,lacZ,glucose,2,5,1.8333333333333333,0.066
2024-05-25,lacZ,glucose,2,5,2.1500000000000004,0.08
2024-05-25,lacZ,glucose,2,5,2.65,0.098
2024-05-25,lacZ,glucose,2,5,2.95,0.115
2024-05-25,lacZ,glucose,2,5,3.283333333333333,0.131
2024-05-25,lacZ,glucose,2,5,3.6,0.146
2024-05-25,lacZ,glucose,2,5,3.9,0.168
2024-05-25,lacZ,glucose,2,5,4.316666666666667,0.198
2024-05-25,lacZ,glucose,2,5,4.683333333333334,0.233
2024-05-25,lacZ,glucose,2,5,4.95,0.273
2024-05-25,lacZ,glucose,2,5,5.233333333333333,0.296
2024-05-25,lacZ,glucose,2,5,5.416666666666667,0.311
2024-05-25,lacZ,glucose,2,5,5.8,0.411
2024-05-23,meshI,glucose,1,0,0.0,0.042
2024-05-23,meshI,glucose,1,0,0.3666666666666666,0.066
2024-05-23,meshI,glucose,1,0,0.8,0.095
2024-05-23,meshI,glucose,1,0,1.2666666666666666,0.14
2024-05-23,meshI,glucose,1,0,1.6333333333333333,0.197
2024-05-23,meshI,glucose,1,0,2.0,0.264
2024-05-23,meshI,glucose,1,0,2.583333333333333,0.44
2024-05-23,meshI,glucose,2,0,0.0,0.057
2024-05-23,meshI,glucose,2,0,0.3666666666666666,0.08
2024-05-23,meshI,glucose,2,0,0.7166666666666667,0.095
2024-05-23,meshI,glucose,2,0,1.4333333333333331,0.186
2024-05-23,meshI,glucose,2,0,1.7833333333333334,0.24
2024-05-23,meshI,glucose,2,0,2.1,0.319
2024-05-23,meshI,glucose,2,0,2.333333333333333,0.388
2024-05-23,meshI,glucose,1,100,0.0,0.047
2024-05-23,meshI,glucose,1,100,0.2333333333333333,0.06
2024-05-23,meshI,glucose,1,100,0.55,0.077
2024-05-23,meshI,glucose,1,100,0.9666666666666668,0.1
2024-05-23,meshI,glucose,1,100,1.2833333333333334,0.122
2024-05-23,meshI,glucose,1,100,1.5333333333333334,0.149
2024-05-23,meshI,glucose,1,100,1.9833333333333332,0.203
2024-05-23,meshI,glucose,1,100,2.266666666666667,0.246
2024-05-23,meshI,glucose,1,100,2.583333333333333,0.328
2024-05-23,meshI,glucose,2,100,0.0,0.04
2024-05-23,meshI,glucose,2,100,0.35,0.045
2024-05-23,meshI,glucose,2,100,0.6666666666666666,0.062
2024-05-23,meshI,glucose,2,100,0.9,0.071
2024-05-23,meshI,glucose,2,100,1.2166666666666666,0.08
2024-05-23,meshI,glucose,2,100,1.6333333333333333,0.114
2024-05-23,meshI,glucose,2,100,1.95,0.146
2024-05-23,meshI,glucose,2,100,2.2,0.168
2024-05-23,meshI,glucose,2,100,2.65,0.227
2024-05-23,meshI,glucose,2,100,2.933333333333333,0.263
2024-05-23,meshI,glucose,2,100,3.25,0.336
2024-05-23,relA,glucose,1,0,0.0,0.054
2024-05-23,relA,glucose,1,0,0.3666666666666666,0.056
2024-05-23,relA,glucose,1,0,1.0666666666666669,0.116
2024-05-23,relA,glucose,1,0,1.4166666666666667,0.157
2024-05-23,relA,glucose,1,0,1.7333333333333334,0.205
2024-05-23,relA,glucose,1,0,1.9666666666666663,0.249
2024-05-23,relA,glucose,1,0,2.283333333333333,0.328
2024-05-23,relA,glucose,1,0,2.4833333333333334,0.382
2024-05-23,relA,glucose,1,0,2.6,0.404
2024-05-23,relA,glucose,2,0,0.0,0.06
2024-05-23,relA,glucose,2,0,0.4166666666666667,0.08
2024-05-23,relA,glucose,2,0,0.7333333333333333,0.101
2024-05-23,relA,glucose,2,0,1.4166666666666667,0.169
2024-05-23,relA,glucose,2,0,1.7,0.213
2024-05-23,relA,glucose,2,0,2.0333333333333337,0.274
2024-05-23,relA,glucose,2,0,2.5166666666666666,0.413
2024-05-23,relA,glucose,1,2,0.0,0.058
2024-05-23,relA,glucose,1,2,0.3333333333333333,0.067
2024-05-23,relA,glucose,1,2,0.55,0.081
2024-05-23,relA,glucose,1,2,0.8833333333333333,0.1
2024-05-23,relA,glucose,1,2,1.2833333333333334,0.127
2024-05-23,relA,glucose,1,2,1.6,0.153
2024-05-23,relA,glucose,1,2,1.85,0.171
2024-05-23,relA,glucose,1,2,2.3,0.222
2024-05-23,relA,glucose,1,2,2.583333333333333,0.268
2024-05-23,relA,glucose,1,2,2.9,0.317
2024-05-23,relA,glucose,1,2,3.3833333333333333,0.441
2024-05-26,relA,glucose,2,2,0.0,0.049
2024-05-26,relA,glucose,2,2,0.4,0.057
2024-05-26,relA,glucose,2,2,0.8666666666666667,0.075
2024-05-26,relA,glucose,2,2,1.3333333333333333,0.1
2024-05-26,relA,glucose,2,2,1.7333333333333334,0.122
2024-05-26,relA,glucose,2,2,2.266666666666667,0.176
2024-05-26,relA,glucose,2,2,2.783333333333333,0.234
2024-05-26,relA,glucose,2,2,3.25,0.305
2024-05-26,relA,glucose,2,2,3.6166666666666663,0.37
2024-05-26,relA,glucose,2,2,3.8333333333333335,0.422
2024-05-25,relA,glucose,1,4,0.0,0.042
2024-05-25,relA,glucose,1,4,0.7666666666666667,0.061
2024-05-25,relA,glucose,1,4,1.1833333333333331,0.072
2024-05-25,relA,glucose,1,4,1.4833333333333334,0.084
2024-05-25,relA,glucose,1,4,1.9,0.104
2024-05-25,relA,glucose,1,4,2.266666666666667,0.124
2024-05-25,relA,glucose,1,4,2.6666666666666665,0.143
2024-05-25,relA,glucose,1,4,3.033333333333333,0.163
2024-05-25,relA,glucose,1,4,3.3,0.187
2024-05-25,relA,glucose,1,4,3.8666666666666663,0.239
2024-05-25,relA,glucose,1,4,4.166666666666667,0.267
2024-05-25,relA,glucose,1,4,4.500000000000001,0.308
2024-05-25,relA,glucose,1,4,4.8,0.349
2024-05-25,relA,glucose,1,4,5.15,0.396
2024-05-25,relA,glucose,2,4,0.0,0.045
2024-05-25,relA,glucose,2,4,0.7833333333333333,0.056
2024-05-25,relA,glucose,2,4,1.1833333333333331,0.067
2024-05-25,relA,glucose,2,4,1.5,0.078
2024-05-25,relA,glucose,2,4,1.9166666666666667,0.095
2024-05-25,relA,glucose,2,4,2.283333333333333,0.106
2024-05-25,relA,glucose,2,4,2.6666666666666665,0.126
2024-05-25,relA,glucose,2,4,3.033333333333333,0.147
2024-05-25,relA,glucose,2,4,3.3,0.166
2024-05-25,relA,glucose,2,4,3.8666666666666663,0.208
2024-05-25,relA,glucose,2,4,4.166666666666667,0.237
2024-05-25,relA,glucose,2,4,4.516666666666668,0.267
2024-05-25,relA,glucose,2,4,4.816666666666666,0.302
2024-05-25,relA,glucose,2,4,5.133333333333334,0.334
2024-05-25,relA,glucose,2,4,5.533333333333333,0.4
2024-05-24,wildtype,LB,1,0,0.0,0.059
2024-05-24,wildtype,LB,1,0,0.1333333333333333,0.081
2024-05-24,wildtype,LB,1,0,0.35,0.127
2024-05-24,wildtype,LB,1,0,0.55,0.207
2024-05-24,wildtype,LB,1,0,0.7,0.283
2024-05-24,wildtype,LB,1,0,0.8,0.361
2024-05-24,wildtype,LB,1,0,0.8833333333333333,0.445
2024-05-24,wildtype,LB,2,0,0.0,0.044
2024-05-24,wildtype,LB,2,0,0.15,0.061
2024-05-24,wildtype,LB,2,0,0.35,0.1
2024-05-24,wildtype,LB,2,0,0.55,0.153
2024-05-24,wildtype,LB,2,0,0.7,0.223
2024-05-24,wildtype,LB,2,0,0.8166666666666667,0.288
2024-05-24,wildtype,LB,2,0,0.95,0.369
2024-05-25,wildtype,acetate,1,0,0.0,0.04
2024-05-25,wildtype,acetate,1,0,0.2666666666666667,0.049
2024-05-25,wildtype,acetate,1,0,0.7,0.056
2024-05-25,wildtype,acetate,1,0,1.05,0.06
2024-05-25,wildtype,acetate,1,0,1.45,0.07
2024-05-25,wildtype,acetate,1,0,1.8333333333333333,0.075
2024-05-25,wildtype,acetate,1,0,2.1333333333333337,0.092
2024-05-25,wildtype,acetate,1,0,2.6333333333333333,0.114
2024-05-25,wildtype,acetate,1,0,2.9166666666666665,0.126
2024-05-25,wildtype,acetate,1,0,3.2666666666666666,0.141
2024-05-25,wildtype,acetate,1,0,3.566666666666667,0.156
2024-05-25,wildtype,acetate,1,0,3.883333333333333,0.172
2024-05-25,wildtype,acetate,1,0,4.300000000000001,0.197
2024-05-25,wildtype,acetate,1,0,4.65,0.222
2024-05-25,wildtype,acetate,1,0,4.916666666666667,0.247
2024-05-25,wildtype,acetate,1,0,5.216666666666667,0.264
2024-05-25,wildtype,acetate,1,0,5.4,0.281
2024-05-25,wildtype,acetate,1,0,5.783333333333333,0.325
2024-05-25,wildtype,acetate,1,0,6.45,0.405
2024-05-25,wildtype,acetate,2,0,0.0,0.046
2024-05-25,wildtype,acetate,2,0,0.2833333333333334,0.06
2024-05-25,wildtype,acetate,2,0,0.7166666666666667,0.076
2024-05-25,wildtype,acetate,2,0,1.0666666666666669,0.084
2024-05-25,wildtype,acetate,2,0,1.45,0.097
2024-05-25,wildtype,acetate,2,0,1.8333333333333333,0.104
2024-05-25,wildtype,acetate,2,0,2.1333333333333337,0.127
2024-05-25,wildtype,acetate,2,0,2.6333333333333333,0.148
2024-05-25,wildtype,acetate,2,0,2.933333333333333,0.175
2024-05-25,wildtype,acetate,2,0,3.2666666666666666,0.2
2024-05-25,wildtype,acetate,2,0,3.566666666666667,0.22
2024-05-25,wildtype,acetate,2,0,3.883333333333333,0.244
2024-05-25,wildtype,acetate,2,0,4.300000000000001,0.282
2024-05-25,wildtype,acetate,2,0,4.666666666666667,0.321
2024-05-25,wildtype,acetate,2,0,4.933333333333334,0.354
2024-05-25,wildtype,acetate,2,0,5.216666666666667,0.384
2024-05-25,wildtype,acetate,2,0,5.4,0.41
2024-05-22,wildtype,glucose,1,0,0.0,0.042
2024-05-22,wildtype,glucose,1,0,0.45,0.055
2024-05-22,wildtype,glucose,1,0,0.9333333333333332,0.084
2024-05-22,wildtype,glucose,1,0,1.3833333333333333,0.129
2024-05-22,wildtype,glucose,1,0,1.7833333333333334,0.178
2024-05-22,wildtype,glucose,1,0,2.083333333333333,0.244
2024-05-22,wildtype,glucose,1,0,2.6166666666666667,0.375
2024-05-22,wildtype,glucose,2,0,0.0,0.05
2024-05-22,wildtype,glucose,2,0,0.3833333333333333,0.071
2024-05-22,wildtype,glucose,2,0,0.7,0.092
2024-05-22,wildtype,glucose,2,0,1.2166666666666666,0.148
2024-05-22,wildtype,glucose,2,0,1.5833333333333333,0.207
2024-05-22,wildtype,glucose,2,0,1.8833333333333333,0.272
2024-05-22,wildtype,glucose,2,0,2.4,0.409
2024-05-22,wildtype,glucose+acetate,1,0,0.0,0.048
2024-05-22,wildtype,glucose+acetate,1,0,0.4666666666666667,0.071
2024-05-22,wildtype,glucose+acetate,1,0,0.8333333333333334,0.104
2024-05-22,wildtype,glucose+acetate,1,0,1.15,0.13
2024-05-22,wildtype,glucose+acetate,1,0,1.6666666666666667,0.197
2024-05-22,wildtype,glucose+acetate,1,0,2.0333333333333337,0.281
2024-05-22,wildtype,glucose+acetate,1,0,2.35,0.377
2024-05-22,wildtype,glucose+acetate,1,0,2.45,0.387
2024-05-22,wildtype,glucose+acetate,1,0,2.55,0.416
2024-05-22,wildtype,glucose+acetate,2,0,0.0,0.044
2024-05-22,wildtype,glucose+acetate,2,0,0.3,0.052
2024-05-22,wildtype,glucose+acetate,2,0,0.9333333333333332,0.078
2024-05-22,wildtype,glucose+acetate,2,0,1.3,0.099
2024-05-22,wildtype,glucose+acetate,2,0,2.7333333333333334,0.29
2024-05-22,wildtype,glucose+acetate,2,0,3.0166666666666666,0.352
2024-05-24,wildtype,glucoseCAA,1,0,0.0,0.051
2024-05-24,wildtype,glucoseCAA,1,0,0.35,0.1
2024-05-24,wildtype,glucoseCAA,1,0,0.6166666666666667,0.152
2024-05-24,wildtype,glucoseCAA,1,0,0.9,0.214
2024-05-24,wildtype,glucoseCAA,1,0,1.25,0.331
2024-05-24,wildtype,glucoseCAA,2,0,0.0,0.056
2024-05-24,wildtype,glucoseCAA,2,0,0.3166666666666666,0.092
2024-05-24,wildtype,glucoseCAA,2,0,0.6166666666666667,0.138
2024-05-24,wildtype,glucoseCAA,2,0,0.9833333333333332,0.216
2024-05-24,wildtype,glucoseCAA,2,0,1.25,0.302
2024-05-24,wildtype,glucoseCAA,2,0,1.5166666666666666,0.412
2024-05-22,wildtype,glycerol,1,0,0.0,0.04
2024-05-22,wildtype,glycerol,1,0,0.4666666666666667,0.054
2024-05-22,wildtype,glycerol,1,0,0.85,0.063
2024-05-22,wildtype,glycerol,1,0,1.15,0.086
2024-05-22,wildtype,glycerol,1,0,1.6666666666666667,0.12
2024-05-22,wildtype,glycerol,1,0,2.0333333333333337,0.161
2024-05-22,wildtype,glycerol,1,0,2.333333333333333,0.195
2024-05-22,wildtype,glycerol,1,0,2.966666666666667,0.287
2024-05-22,wildtype,glycerol,1,0,3.35,0.363
2024-05-22,wildtype,glycerol,1,0,3.5166666666666666,0.416
2024-05-22,wildtype,glycerol,2,0,0.0,0.059
2024-05-22,wildtype,glycerol,2,0,0.5166666666666667,0.084
2024-05-22,wildtype,glycerol,2,0,0.8833333333333333,0.113
2024-05-22,wildtype,glycerol,2,0,1.2,0.135
2024-05-22,wildtype,glycerol,2,0,1.8166666666666669,0.195
2024-05-22,wildtype,glycerol,2,0,2.2,0.24
2024-05-22,wildtype,glycerol,2,0,2.3833333333333333,0.273
2024-05-22,wildtype,sorbitol,1,0,0.0,0.043
2024-05-22,wildtype,sorbitol,1,0,0.4666666666666667,0.061
2024-05-22,wildtype,sorbitol,1,0,0.85,0.078
2024-05-22,wildtype,sorbitol,1,0,1.15,0.096
2024-05-22,wildtype,sorbitol,1,0,1.6666666666666667,0.13
2024-05-22,wildtype,sorbitol,1,0,2.0333333333333337,0.164
2024-05-22,wildtype,sorbitol,1,0,2.333333333333333,0.201
2024-05-22,wildtype,sorbitol,1,0,2.966666666666667,0.284
2024-05-22,wildtype,sorbitol,1,0,3.333333333333333,0.35
2024-05-22,wildtype,sorbitol,1,0,3.5166666666666666,0.391
2024-05-22,wildtype,sorbitol,2,0,0.0,0.046
2024-05-22,wildtype,sorbitol,2,0,0.4666666666666667,0.064
2024-05-22,wildtype,sorbitol,2,0,0.85,0.082
2024-05-22,wildtype,sorbitol,2,0,1.15,0.099
2024-05-22,wildtype,sorbitol,2,0,1.6666666666666667,0.137
2024-05-22,wildtype,sorbitol,2,0,2.0333333333333337,0.18
2024-05-22,wildtype,sorbitol,2,0,2.35,0.214
2024-05-22,wildtype,sorbitol,2,0,2.816666666666667,0.262
2024-05-22,wildtype,sorbitol,2,0,2.833333333333333,0.28
2024-05-22,wildtype,sorbitol,2,0,3.1333333333333333,0.304
2024-05-22,wildtype,sorbitol,2,0,3.35,0.369
2024-05-22,wildtype,sorbitol,2,0,3.533333333333333,0.413
